review_index,sentence_index,sentence_text,sentiment_label,sentiment_score,sentiment_confidence,emotion,x,nmd_score,num_sentences,username,date,rating,source
0,0,This is the truth: This documentary perfectly captured the experiences of the Marcos and the exploited people.,negative,0.6449825763702393,0.6449825763702393,-2,-1.2899651527404785,72.94026255607605,5,VoNiTo101,2022-05-06 00:00:00.000,90.0,imdb
0,1,It showed what it is like to live with extensive wealth and how the Marcos regime used it for political power and their self interests.,positive,0.7299363017082214,0.7299363017082214,1,0.7299363017082214,72.94026255607605,5,VoNiTo101,2022-05-06 00:00:00.000,90.0,imdb
0,2,This is a must watch film for those who wish to see the Marcos' perspective on Martial Law and their countless political movements.,positive,0.9954267144203186,0.9954267144203186,1,0.9954267144203186,72.94026255607605,5,VoNiTo101,2022-05-06 00:00:00.000,90.0,imdb
0,3,"This documentary shows the truth, through direct interviews with the Marcoses, and it is up to you if you are going to believe it.",positive,0.9539884328842164,0.9539884328842164,1,0.9539884328842164,72.94026255607605,5,VoNiTo101,2022-05-06 00:00:00.000,90.0,imdb
0,4,"As John Henry Newman would say: ""We can believe what we choose but we are answerable for what we choose to believe.",positive,0.9046399593353271,0.9046399593353271,1,0.9046399593353271,72.94026255607605,5,VoNiTo101,2022-05-06 00:00:00.000,90.0,imdb
1,0,"Prescient and illuminating: As I write Ferdinand Marcus junior or 'bong bong' has been elected president of the Philippines, so it's a good time to view this documentary about the Marcos dynasty, its rise, its fall in the peoples revolution of 1986, and the gradual and dramatic rise again of its fortunes; in particular this film focuses on the surprisingly influential, some might say malevolent role that Imelda Marcos played.",positive,0.9948345422744752,0.9948345422744752,1,0.9948345422744752,46.99701130390167,5,brockfal,2022-05-10 00:00:00.000,80.0,imdb
1,1,"It's a shocking tale of shameless corruption nepotism cronyism and greed, at the end of which one can only feel saddened for the Filipino people, who have been used abused lied to and robbed over decades by their elite, and still are.",negative,0.7588866949081421,0.7588866949081421,-2,-1.5177733898162842,46.99701130390167,5,brockfal,2022-05-10 00:00:00.000,80.0,imdb
1,2,"Half of todays Filipino voters were not alive for the first Marcos era, but I was there in late 1985 and saw the huge disparity between the rich and poor, and just how hated the Marcos regime was at the time.",positive,0.6903761029243469,0.6903761029243469,1,0.6903761029243469,46.99701130390167,5,brockfal,2022-05-10 00:00:00.000,80.0,imdb
1,3,Sadly all of that now seems to have been forgotten.,negative,0.7222139239311218,0.7222139239311218,-2,-1.4444278478622437,46.99701130390167,5,brockfal,2022-05-10 00:00:00.000,80.0,imdb
1,4,If you want to know something of the true story of the Marcos 'dynasty' see this fine doc.,positive,0.976691722869873,0.976691722869873,1,0.976691722869873,46.99701130390167,5,brockfal,2022-05-10 00:00:00.000,80.0,imdb
2,0,"Privilege matters, Political horror!: Well worth watching.",positive,0.9738759398460388,0.9738759398460388,1,0.9738759398460388,68.49827691912651,4,DennisGillEndor,2019-12-05 00:00:00.000,90.0,imdb
2,1,Amazing documentary about privilege and the sociopathic mindset.,positive,0.982781708240509,0.982781708240509,1,0.982781708240509,68.49827691912651,4,DennisGillEndor,2019-12-05 00:00:00.000,90.0,imdb
2,2,It's about a narcissistic self serving former first lady abusing her position.,negative,0.6290678381919861,0.6290678381919861,-2,-1.2581356763839722,68.49827691912651,4,DennisGillEndor,2019-12-05 00:00:00.000,90.0,imdb
2,3,The film shines on the ugly politics of the Philippines.,positive,0.7813401818275452,0.7813401818275452,1,0.7813401818275452,68.49827691912651,4,DennisGillEndor,2019-12-05 00:00:00.000,90.0,imdb
3,0,"Excellent insight into vile monsters !: I love the Philippines, visited many times and my longterm gf is there.",positive,0.9979130625724792,0.9979130625724792,1,0.9979130625724792,68.46615076065063,4,andrewcollins-86653,2021-10-29 00:00:00.000,100.0,imdb
3,1,The carnage left behind from this disgusting dynasty is there for all to see today in the form of vastly stunted economic growth down to the billions of dollars embezzled by these creatures !,negative,0.7101885080337524,0.7101885080337524,-2,-1.4203770160675049,68.46615076065063,4,andrewcollins-86653,2021-10-29 00:00:00.000,100.0,imdb
3,2,This documentary is wonderfully put together but leaves me sad to see a country I am so fond of suffering even today from what these two people did !,positive,0.9149086475372314,0.9149086475372314,1,0.9149086475372314,68.46615076065063,4,andrewcollins-86653,2021-10-29 00:00:00.000,100.0,imdb
3,3,Her state of mass delusion is clear for all to see in this excellent piece of work !,positive,0.984847366809845,0.984847366809845,1,0.984847366809845,68.46615076065063,4,andrewcollins-86653,2021-10-29 00:00:00.000,100.0,imdb
4,0,Real life political horror: Horrifically illustrates how a nation's collective memory can be erased in real time and the true limits of democracy in the social media age.,negative,0.595791757106781,0.595791757106781,-2,-1.191583514213562,74.0681807200114,6,wmurch3,2022-06-08 00:00:00.000,100.0,imdb
4,1,I liked how it started off making us think it was going to be a lifestyles of the rich and famous and slowly peeled away the facade and leaves you with the punch to the gut.,positive,0.92383873462677,0.92383873462677,1,0.92383873462677,74.0681807200114,6,wmurch3,2022-06-08 00:00:00.000,100.0,imdb
4,2,Imelda comes across as a complete psychopath with absolutely no perception of reality.,positive,0.5238566994667053,0.5238566994667053,1,0.5238566994667053,74.0681807200114,6,wmurch3,2022-06-08 00:00:00.000,100.0,imdb
4,3,This is what happens to you when you drink your own kool-aid folks!,positive,0.9870749115943908,0.9870749115943908,1,0.9870749115943908,74.0681807200114,6,wmurch3,2022-06-08 00:00:00.000,100.0,imdb
4,4,"In a world where social media can be manipulated to create alternate realities, these historical revisionists will find it even easier to get away with murder.",positive,0.7112483382225037,0.7112483382225037,1,0.7112483382225037,74.0681807200114,6,wmurch3,2022-06-08 00:00:00.000,100.0,imdb
4,5,God help us all.,positive,0.9337465167045592,0.9337465167045592,1,0.9337465167045592,74.0681807200114,6,wmurch3,2022-06-08 00:00:00.000,100.0,imdb
5,0,Very intersting despite being ruined: It is a story of how corruption enters a nation and stays there forever.,positive,0.9838865399360656,0.9838865399360656,1,0.9838865399360656,36.340897423880435,7,dhti,2020-08-14 00:00:00.000,60.0,imdb
5,1,The documentary is very intersting in this aspect.,positive,0.9950124621391296,0.9950124621391296,1,0.9950124621391296,36.340897423880435,7,dhti,2020-08-14 00:00:00.000,60.0,imdb
5,2,The maker of the documentary is very one sided and has little knowledge of the local culture.,negative,0.9200654029846193,0.9200654029846193,-2,-1.8401308059692385,36.340897423880435,7,dhti,2020-08-14 00:00:00.000,60.0,imdb
5,3,This is of course very irritating.,negative,0.9054256081581116,0.9054256081581116,-2,-1.8108512163162231,36.340897423880435,7,dhti,2020-08-14 00:00:00.000,60.0,imdb
5,4,She paints the obvious corrupt opposition as saints.,positive,0.6316536664962769,0.6316536664962769,1,0.6316536664962769,36.340897423880435,7,dhti,2020-08-14 00:00:00.000,60.0,imdb
5,5,Anyone wiht any knowledge about that culture should know how stupid the maker of this docu is.,negative,0.9326352477073668,0.9326352477073668,-2,-1.8652704954147337,36.340897423880435,7,dhti,2020-08-14 00:00:00.000,60.0,imdb
5,6,"Apart from that, a very interesting documentary worth watching.",positive,0.9934254884719848,0.9934254884719848,1,0.9934254884719848,36.340897423880435,7,dhti,2020-08-14 00:00:00.000,60.0,imdb
