review_id,sentence_num,username,date,rating,source,sentence,sentiment,confidence,prob_negative,prob_neutral,prob_positive,sentiment_std,rating_numeric
0,1,insane666,2025-10-02 00:00:00.000,10.0,ltbx,dagdag ko lang sa films ko kasi napanood ko to sa cine dati nung bata aku hahahaha naalala ko iniyakan ko to hanggang pag uwi namen diko alam kung baket hahhahahahahajahahahajahajhahaja ang kulet hanggang leeg,positive,0.8979164958000183,0.10207308828830719,1.0335747901990544e-05,0.8979164958000183,positive,10.0
1,1,cherriluvscola,2025-09-12 00:00:00.000,20.0,ltbx,religious trauma gonna eat dinuguan after this,negative,0.8735604286193848,0.8735604286193848,3.487172580207698e-05,0.12640462815761566,negative,20.0
2,1,hatdiggitydog,2025-08-10 00:00:00.000,,ltbx,Propaganda slop,negative,0.6661722660064697,0.6661722660064697,0.00012009331840090454,0.33370763063430786,negative,
3,1,chrisales,2025-05-18 00:00:00.000,100.0,ltbx,Absolute cult classic,negative,0.861069917678833,0.861069917678833,9.890628280118108e-05,0.13883112370967865,negative,100.0
4,1,disposedscalpel,2025-04-18 00:00:00.000,,ltbx,i'd rather watch sausage party than ts,positive,0.7425467371940613,0.257427453994751,2.5751254725037143e-05,0.7425467371940613,positive,
5,1,mattyakamattie,2025-04-13 00:00:00.000,10.0,ltbx,"just got off of church, and i just remembered this movie existed",positive,0.7980350852012634,0.2019122689962387,5.270314431982115e-05,0.7980350852012634,positive,10.0
5,2,mattyakamattie,2025-04-13 00:00:00.000,10.0,ltbx,"i remember being told by the minister of my local to watch this movie during bible study sessions, and to tell him the things i’ve learned about his life, and my god was this the most BORING MOVIE I’VE EVER WATCHED",positive,0.9150174260139465,0.08484722673892975,0.0001353359257336706,0.9150174260139465,positive,10.0
5,3,mattyakamattie,2025-04-13 00:00:00.000,10.0,ltbx,"ALMOST THREE HOURS, AND BEING ONE OF THE MOST EXPENSIVE MOVIES TO BE MADE IN THE PHILIPPINES, AND FOR WHAT",positive,0.9162269830703735,0.08371654897928238,5.6454849982401356e-05,0.9162269830703735,positive,10.0
5,4,mattyakamattie,2025-04-13 00:00:00.000,10.0,ltbx,NO SUBSTANCE,negative,0.7844658493995667,0.7844658493995667,0.00016419765597674996,0.21536995470523834,negative,10.0
5,5,mattyakamattie,2025-04-13 00:00:00.000,10.0,ltbx,"GET ME OUT OF THIS CHURCH, DARE I SAY, CULT",positive,0.640433669090271,0.3594844937324524,8.186998456949368e-05,0.640433669090271,positive,10.0
7,1,alysterjohn,2025-01-27 00:00:00.000,10.0,ltbx,The only thing I have ever been disappointed in with Dennis Trillo,negative,0.6421719193458557,0.6421719193458557,4.482769872993231e-05,0.3577832281589508,negative,10.0
7,2,alysterjohn,2025-01-27 00:00:00.000,10.0,ltbx,"I mean, sure, get that bag, king",positive,0.9313805103302002,0.06859802454710007,2.1448919142130762e-05,0.9313805103302002,positive,10.0
7,3,alysterjohn,2025-01-27 00:00:00.000,10.0,ltbx,But I would think he's rich enough to choose the projects he's given and not include himself in cult propaganda,positive,0.8887097835540771,0.11125939339399338,3.0791168683208525e-05,0.8887097835540771,positive,10.0
7,4,alysterjohn,2025-01-27 00:00:00.000,10.0,ltbx,Seeing the trailer years ago was enough for me,positive,0.8006566166877747,0.199297696352005,4.5722561480943114e-05,0.8006566166877747,positive,10.0
8,1,cigsfortwo,2025-01-26 00:00:00.000,20.0,ltbx,"the things i do for you, dennis trillo",positive,0.9906837940216064,0.00930777471512556,8.326093848154414e-06,0.9906837940216064,positive,20.0
