review_id,sentence_num,username,date,rating,source,sentence,sentiment,confidence,prob_negative,prob_neutral,prob_positive,sentiment_std,rating_numeric
0,1,VoNiTo101,2022-05-06 00:00:00.000,90.0,imdb,This is the truth: This documentary perfectly captured the experiences of the Marcos and the exploited people,negative,0.6338851451873779,0.6338851451873779,0.00013481313362717628,0.3659800589084625,negative,90.0
0,2,VoNiTo101,2022-05-06 00:00:00.000,90.0,imdb,It showed what it is like to live with extensive wealth and how the Marcos regime used it for political power and their self interests,positive,0.7221058011054993,0.2778264284133911,6.775771180400625e-05,0.7221058011054993,positive,90.0
0,3,VoNiTo101,2022-05-06 00:00:00.000,90.0,imdb,This is a must watch film for those who wish to see the Marcos' perspective on Martial Law and their countless political movements,positive,0.9960171580314636,0.003951111808419228,3.1675866921432316e-05,0.9960171580314636,positive,90.0
0,4,VoNiTo101,2022-05-06 00:00:00.000,90.0,imdb,"This documentary shows the truth, through direct interviews with the Marcoses, and it is up to you if you are going to believe it",positive,0.9612770080566406,0.03870241716504097,2.047266207227949e-05,0.9612770080566406,positive,90.0
0,5,VoNiTo101,2022-05-06 00:00:00.000,90.0,imdb,"As John Henry Newman would say: ""We can believe what we choose but we are answerable for what we choose to believe",positive,0.9115219712257385,0.08845020830631256,2.7775704438681714e-05,0.9115219712257385,positive,90.0
1,1,brockfal,2022-05-10 00:00:00.000,80.0,imdb,"Prescient and illuminating: As I write Ferdinand Marcus junior or 'bong bong' has been elected president of the Philippines, so it's a good time to view this documentary about the Marcos dynasty, its rise, its fall in the peoples revolution of 1986, and the gradual and dramatic rise again of its fortunes; in particular this film focuses on the surprisingly influential, some might say malevolent role that Imelda Marcos played",positive,0.9950094223022461,0.0049705845303833485,2.0053283151355572e-05,0.9950094223022461,positive,80.0
1,2,brockfal,2022-05-10 00:00:00.000,80.0,imdb,"It's a shocking tale of shameless corruption nepotism cronyism and greed, at the end of which one can only feel saddened for the Filipino people, who have been used abused lied to and robbed over decades by their elite, and still are",negative,0.7951875329017639,0.7951875329017639,6.443482561735436e-05,0.20474807918071747,negative,80.0
1,3,brockfal,2022-05-10 00:00:00.000,80.0,imdb,"Half of todays Filipino voters were not alive for the first Marcos era, but I was there in late 1985 and saw the huge disparity between the rich and poor, and just how hated the Marcos regime was at the time",positive,0.6638624668121338,0.3360738754272461,6.367811874952167e-05,0.6638624668121338,positive,80.0
1,4,brockfal,2022-05-10 00:00:00.000,80.0,imdb,Sadly all of that now seems to have been forgotten,negative,0.7887822985649109,0.7887822985649109,0.00026072587934322655,0.21095700562000275,negative,80.0
1,5,brockfal,2022-05-10 00:00:00.000,80.0,imdb,If you want to know something of the true story of the Marcos 'dynasty' see this fine doc,positive,0.9715705513954163,0.028418591246008873,1.0863575880648568e-05,0.9715705513954163,positive,80.0
2,1,DennisGillEndor,2019-12-05 00:00:00.000,90.0,imdb,"Privilege matters, Political horror",negative,0.6430757641792297,0.6430757641792297,0.00014165588072501123,0.35678258538246155,negative,90.0
2,2,DennisGillEndor,2019-12-05 00:00:00.000,90.0,imdb,: Well worth watching,positive,0.9792749285697937,0.02070465125143528,2.046854206128046e-05,0.9792749285697937,positive,90.0
2,3,DennisGillEndor,2019-12-05 00:00:00.000,90.0,imdb,Amazing documentary about privilege and the sociopathic mindset,positive,0.9777166247367859,0.022266441956162453,1.689296550466679e-05,0.9777166247367859,positive,90.0
2,4,DennisGillEndor,2019-12-05 00:00:00.000,90.0,imdb,It's about a narcissistic self serving former first lady abusing her position,negative,0.7144003510475159,0.7144003510475159,9.341967961518094e-05,0.2855062782764435,negative,90.0
2,5,DennisGillEndor,2019-12-05 00:00:00.000,90.0,imdb,The film shines on the ugly politics of the Philippines,positive,0.8751255869865417,0.124827541410923,4.683382576331496e-05,0.8751255869865417,positive,90.0
3,1,andrewcollins-86653,2021-10-29 00:00:00.000,100.0,imdb,Excellent insight into vile monsters,positive,0.9864085912704468,0.013568848371505737,2.2604441255680285e-05,0.9864085912704468,positive,100.0
3,2,andrewcollins-86653,2021-10-29 00:00:00.000,100.0,imdb,": I love the Philippines, visited many times and my longterm gf is there",positive,0.9975436329841614,0.0024318883661180735,2.455169305903837e-05,0.9975436329841614,positive,100.0
3,3,andrewcollins-86653,2021-10-29 00:00:00.000,100.0,imdb,The carnage left behind from this disgusting dynasty is there for all to see today in the form of vastly stunted economic growth down to the billions of dollars embezzled by these creatures,negative,0.6356129050254822,0.6356129050254822,5.19325039931573e-05,0.36433520913124084,negative,100.0
3,4,andrewcollins-86653,2021-10-29 00:00:00.000,100.0,imdb,This documentary is wonderfully put together but leaves me sad to see a country I am so fond of suffering even today from what these two people did,positive,0.9304097890853882,0.0695708692073822,1.9407527361181565e-05,0.9304097890853882,positive,100.0
3,5,andrewcollins-86653,2021-10-29 00:00:00.000,100.0,imdb,Her state of mass delusion is clear for all to see in this excellent piece of work,positive,0.955935001373291,0.04404347762465477,2.151256921933964e-05,0.955935001373291,positive,100.0
4,1,wmurch3,2022-06-08 00:00:00.000,100.0,imdb,Real life political horror: Horrifically illustrates how a nation's collective memory can be erased in real time and the true limits of democracy in the social media age,negative,0.6935823559761047,0.6935823559761047,0.00012977140431758016,0.30628782510757446,negative,100.0
4,2,wmurch3,2022-06-08 00:00:00.000,100.0,imdb,I liked how it started off making us think it was going to be a lifestyles of the rich and famous and slowly peeled away the facade and leaves you with the punch to the gut,positive,0.9247144460678101,0.07525880634784698,2.6831843570107594e-05,0.9247144460678101,positive,100.0
4,3,wmurch3,2022-06-08 00:00:00.000,100.0,imdb,Imelda comes across as a complete psychopath with absolutely no perception of reality,negative,0.5766549110412598,0.5766549110412598,7.763098983559757e-05,0.4232674241065979,negative,100.0
4,4,wmurch3,2022-06-08 00:00:00.000,100.0,imdb,This is what happens to you when you drink your own kool-aid folks,positive,0.9203062653541565,0.07964793592691422,4.58247413916979e-05,0.9203062653541565,positive,100.0
4,5,wmurch3,2022-06-08 00:00:00.000,100.0,imdb,"In a world where social media can be manipulated to create alternate realities, these historical revisionists will find it even easier to get away with murder",positive,0.7193772196769714,0.2804546654224396,0.00016820893506519496,0.7193772196769714,positive,100.0
4,6,wmurch3,2022-06-08 00:00:00.000,100.0,imdb,God help us all,positive,0.9549115896224976,0.04504961147904396,3.8862643123138696e-05,0.9549115896224976,positive,100.0
5,1,dhti,2020-08-14 00:00:00.000,60.0,imdb,Very intersting despite being ruined: It is a story of how corruption enters a nation and stays there forever,positive,0.9855716228485107,0.014413677155971527,1.4655780432804022e-05,0.9855716228485107,positive,60.0
5,2,dhti,2020-08-14 00:00:00.000,60.0,imdb,The documentary is very intersting in this aspect,positive,0.9952598214149475,0.0047127860598266125,2.7453268558019772e-05,0.9952598214149475,positive,60.0
5,3,dhti,2020-08-14 00:00:00.000,60.0,imdb,The maker of the documentary is very one sided and has little knowledge of the local culture,negative,0.9416536092758179,0.9416536092758179,5.052001870353706e-05,0.05829591676592827,negative,60.0
5,4,dhti,2020-08-14 00:00:00.000,60.0,imdb,This is of course very irritating,negative,0.9431487917900085,0.9431487917900085,0.00016144091205205768,0.056689679622650146,negative,60.0
5,5,dhti,2020-08-14 00:00:00.000,60.0,imdb,She paints the obvious corrupt opposition as saints,positive,0.6447641849517822,0.35512274503707886,0.00011309435649309307,0.6447641849517822,positive,60.0
5,6,dhti,2020-08-14 00:00:00.000,60.0,imdb,Anyone wiht any knowledge about that culture should know how stupid the maker of this docu is,negative,0.9337836503982544,0.9337836503982544,5.979127308819443e-05,0.06615655869245529,negative,60.0
5,7,dhti,2020-08-14 00:00:00.000,60.0,imdb,"Apart from that, a very interesting documentary worth watching",positive,0.9924581050872803,0.007518840488046408,2.3093822164810263e-05,0.9924581050872803,positive,60.0
6,1,george_posadasii,2022-05-05 00:00:00.000,90.0,imdb,"""Perception is Real and the Truth is NOT"": With the Marcoses' consistent effort to rewrite history, this documentary reminds us that behind the grandeur and elaborate schemes of the Marcoses are the stories of pain and sorrows of the victims, which are not mere perception but the truth",positive,0.5071136355400085,0.49284347891807556,4.291071309125982e-05,0.5071136355400085,positive,90.0
6,2,george_posadasii,2022-05-05 00:00:00.000,90.0,imdb,"As Greenfield's style is apparent in the documentary, it did not fail to capture the depressing history of the Philippines under the Marcoses and what may be an apparent future if they were put again into position",positive,0.914861261844635,0.08511196076869965,2.6817238904186524e-05,0.914861261844635,positive,90.0
6,3,george_posadasii,2022-05-05 00:00:00.000,90.0,imdb,The contrasting images presented by Greenfield is a great divider between Perception and Reality,negative,0.8449223637580872,0.8449223637580872,8.056170918280259e-05,0.1549971103668213,negative,90.0
7,1,RobertN1,2025-10-04 00:00:00.000,70.0,imdb,The Kingmaker - Film Review: The Kingmaker is a documentary written and directed by Lauren Greenfield,positive,0.828077495098114,0.17185983061790466,6.272733298828825e-05,0.828077495098114,positive,70.0
7,2,RobertN1,2025-10-04 00:00:00.000,70.0,imdb,"The film follows the political career of Imelda Marcos from the start of her political career with her husband Ferdinand Marcos, the fall of their power and exhile to Hawaii, and then their resurgence after her husbands death and rise of the political career of her children - especially her son Bongbong Marcos",positive,0.9772690534591675,0.022716006264090538,1.4953069694456644e-05,0.9772690534591675,positive,70.0
7,3,RobertN1,2025-10-04 00:00:00.000,70.0,imdb,This film does a good job of contrasting the story Imelda portrays versus the reality of those under her rule,positive,0.9773818850517273,0.0225964467972517,2.1708010535803623e-05,0.9773818850517273,positive,70.0
7,4,RobertN1,2025-10-04 00:00:00.000,70.0,imdb,Imelda will say how great her husbands reign was,positive,0.9936815500259399,0.006306623108685017,1.1793873454735149e-05,0.9936815500259399,positive,70.0
7,5,RobertN1,2025-10-04 00:00:00.000,70.0,imdb,Then you have individuals speak about the atrocities of what occurred,positive,0.5879820585250854,0.4115636944770813,0.00045429295278154314,0.5879820585250854,positive,70.0
7,6,RobertN1,2025-10-04 00:00:00.000,70.0,imdb,I found the film very informative as someone who did not know about the subject matter going in,positive,0.997432291507721,0.002529581543058157,3.8108777516754344e-05,0.997432291507721,positive,70.0
