movie_name,review_id,sentence_num,username,date,rating,source,sentence
The Kingmaker,0,1,VoNiTo101,2022-05-06 00:00:00.000,90.0,imdb,This is the truth: This documentary perfectly captured the experiences of the Marcos and the exploited people
The Kingmaker,0,2,VoNiTo101,2022-05-06 00:00:00.000,90.0,imdb,It showed what it is like to live with extensive wealth and how the Marcos regime used it for political power and their self interests
The Kingmaker,0,3,VoNiTo101,2022-05-06 00:00:00.000,90.0,imdb,This is a must watch film for those who wish to see the Marcos' perspective on Martial Law and their countless political movements
The Kingmaker,0,4,VoNiTo101,2022-05-06 00:00:00.000,90.0,imdb,"This documentary shows the truth, through direct interviews with the Marcoses, and it is up to you if you are going to believe it"
The Kingmaker,0,5,VoNiTo101,2022-05-06 00:00:00.000,90.0,imdb,"As John Henry Newman would say: ""We can believe what we choose but we are answerable for what we choose to believe"
The Kingmaker,1,1,brockfal,2022-05-10 00:00:00.000,80.0,imdb,"Prescient and illuminating: As I write Ferdinand Marcus junior or 'bong bong' has been elected president of the Philippines, so it's a good time to view this documentary about the Marcos dynasty, its rise, its fall in the peoples revolution of 1986, and the gradual and dramatic rise again of its fortunes; in particular this film focuses on the surprisingly influential, some might say malevolent role that Imelda Marcos played"
The Kingmaker,1,2,brockfal,2022-05-10 00:00:00.000,80.0,imdb,"It's a shocking tale of shameless corruption nepotism cronyism and greed, at the end of which one can only feel saddened for the Filipino people, who have been used abused lied to and robbed over decades by their elite, and still are"
The Kingmaker,1,3,brockfal,2022-05-10 00:00:00.000,80.0,imdb,"Half of todays Filipino voters were not alive for the first Marcos era, but I was there in late 1985 and saw the huge disparity between the rich and poor, and just how hated the Marcos regime was at the time"
The Kingmaker,1,4,brockfal,2022-05-10 00:00:00.000,80.0,imdb,Sadly all of that now seems to have been forgotten
The Kingmaker,1,5,brockfal,2022-05-10 00:00:00.000,80.0,imdb,If you want to know something of the true story of the Marcos 'dynasty' see this fine doc
The Kingmaker,2,1,DennisGillEndor,2019-12-05 00:00:00.000,90.0,imdb,"Privilege matters, Political horror"
The Kingmaker,2,2,DennisGillEndor,2019-12-05 00:00:00.000,90.0,imdb,: Well worth watching
The Kingmaker,2,3,DennisGillEndor,2019-12-05 00:00:00.000,90.0,imdb,Amazing documentary about privilege and the sociopathic mindset
The Kingmaker,2,4,DennisGillEndor,2019-12-05 00:00:00.000,90.0,imdb,It's about a narcissistic self serving former first lady abusing her position
The Kingmaker,2,5,DennisGillEndor,2019-12-05 00:00:00.000,90.0,imdb,The film shines on the ugly politics of the Philippines
The Kingmaker,3,1,andrewcollins-86653,2021-10-29 00:00:00.000,100.0,imdb,Excellent insight into vile monsters
The Kingmaker,3,2,andrewcollins-86653,2021-10-29 00:00:00.000,100.0,imdb,": I love the Philippines, visited many times and my longterm gf is there"
The Kingmaker,3,3,andrewcollins-86653,2021-10-29 00:00:00.000,100.0,imdb,The carnage left behind from this disgusting dynasty is there for all to see today in the form of vastly stunted economic growth down to the billions of dollars embezzled by these creatures
The Kingmaker,3,4,andrewcollins-86653,2021-10-29 00:00:00.000,100.0,imdb,This documentary is wonderfully put together but leaves me sad to see a country I am so fond of suffering even today from what these two people did
The Kingmaker,3,5,andrewcollins-86653,2021-10-29 00:00:00.000,100.0,imdb,Her state of mass delusion is clear for all to see in this excellent piece of work
The Kingmaker,4,1,wmurch3,2022-06-08 00:00:00.000,100.0,imdb,Real life political horror: Horrifically illustrates how a nation's collective memory can be erased in real time and the true limits of democracy in the social media age
The Kingmaker,4,2,wmurch3,2022-06-08 00:00:00.000,100.0,imdb,I liked how it started off making us think it was going to be a lifestyles of the rich and famous and slowly peeled away the facade and leaves you with the punch to the gut
The Kingmaker,4,3,wmurch3,2022-06-08 00:00:00.000,100.0,imdb,Imelda comes across as a complete psychopath with absolutely no perception of reality
The Kingmaker,4,4,wmurch3,2022-06-08 00:00:00.000,100.0,imdb,This is what happens to you when you drink your own kool-aid folks
The Kingmaker,4,5,wmurch3,2022-06-08 00:00:00.000,100.0,imdb,"In a world where social media can be manipulated to create alternate realities, these historical revisionists will find it even easier to get away with murder"
The Kingmaker,4,6,wmurch3,2022-06-08 00:00:00.000,100.0,imdb,God help us all
The Kingmaker,5,1,dhti,2020-08-14 00:00:00.000,60.0,imdb,Very intersting despite being ruined: It is a story of how corruption enters a nation and stays there forever
The Kingmaker,5,2,dhti,2020-08-14 00:00:00.000,60.0,imdb,The documentary is very intersting in this aspect
The Kingmaker,5,3,dhti,2020-08-14 00:00:00.000,60.0,imdb,The maker of the documentary is very one sided and has little knowledge of the local culture
The Kingmaker,5,4,dhti,2020-08-14 00:00:00.000,60.0,imdb,This is of course very irritating
The Kingmaker,5,5,dhti,2020-08-14 00:00:00.000,60.0,imdb,She paints the obvious corrupt opposition as saints
The Kingmaker,5,6,dhti,2020-08-14 00:00:00.000,60.0,imdb,Anyone wiht any knowledge about that culture should know how stupid the maker of this docu is
The Kingmaker,5,7,dhti,2020-08-14 00:00:00.000,60.0,imdb,"Apart from that, a very interesting documentary worth watching"
The Kingmaker,6,1,george_posadasii,2022-05-05 00:00:00.000,90.0,imdb,"""Perception is Real and the Truth is NOT"": With the Marcoses' consistent effort to rewrite history, this documentary reminds us that behind the grandeur and elaborate schemes of the Marcoses are the stories of pain and sorrows of the victims, which are not mere perception but the truth"
The Kingmaker,6,2,george_posadasii,2022-05-05 00:00:00.000,90.0,imdb,"As Greenfield's style is apparent in the documentary, it did not fail to capture the depressing history of the Philippines under the Marcoses and what may be an apparent future if they were put again into position"
The Kingmaker,6,3,george_posadasii,2022-05-05 00:00:00.000,90.0,imdb,The contrasting images presented by Greenfield is a great divider between Perception and Reality
The Kingmaker,7,1,RobertN1,2025-10-04 00:00:00.000,70.0,imdb,The Kingmaker - Film Review: The Kingmaker is a documentary written and directed by Lauren Greenfield
The Kingmaker,7,2,RobertN1,2025-10-04 00:00:00.000,70.0,imdb,"The film follows the political career of Imelda Marcos from the start of her political career with her husband Ferdinand Marcos, the fall of their power and exhile to Hawaii, and then their resurgence after her husbands death and rise of the political career of her children - especially her son Bongbong Marcos"
The Kingmaker,7,3,RobertN1,2025-10-04 00:00:00.000,70.0,imdb,This film does a good job of contrasting the story Imelda portrays versus the reality of those under her rule
The Kingmaker,7,4,RobertN1,2025-10-04 00:00:00.000,70.0,imdb,Imelda will say how great her husbands reign was
The Kingmaker,7,5,RobertN1,2025-10-04 00:00:00.000,70.0,imdb,Then you have individuals speak about the atrocities of what occurred
The Kingmaker,7,6,RobertN1,2025-10-04 00:00:00.000,70.0,imdb,I found the film very informative as someone who did not know about the subject matter going in
The Kingmaker,7,7,RobertN1,2025-10-04 00:00:00.000,70.0,imdb,I also appreciated how the film showed the current scene of the Philippines with Bongbong running for Vice-President (and who is President as I write this 6 years after the film came out)
The Kingmaker,7,8,RobertN1,2025-10-04 00:00:00.000,70.0,imdb,"Overall, I think this is a worthwhile watch to learn about the history of the Philippines political dynasty from 1965 - 1986, and then again around 2016"
The Kingmaker,7,9,RobertN1,2025-10-04 00:00:00.000,70.0,imdb,- 7/10
The Kingmaker,8,1,josephnueva01,2020-11-07 00:00:00.000,90.0,imdb,Uncovering the Fantasy World of the Marcoses: Brilliant documentary
The Kingmaker,8,2,josephnueva01,2020-11-07 00:00:00.000,90.0,imdb,It shows how much you can do with money; it can turn lies to history
The Kingmaker,9,1,andrewpeterconnell,2020-03-02 00:00:00.000,80.0,imdb,An eye opener: Highly recommend this
The Kingmaker,9,2,andrewpeterconnell,2020-03-02 00:00:00.000,80.0,imdb,Like her or loathe her you can't deny the blatant pesos for politics
The Kingmaker,9,3,andrewpeterconnell,2020-03-02 00:00:00.000,80.0,imdb,Watching Marcos hand out wads of cash to kids in a hospital ward in front of the cameras was as cynical as it was sickening
The Kingmaker,9,4,andrewpeterconnell,2020-03-02 00:00:00.000,80.0,imdb,I've never paid much (read: any) attention to Filipino politics but will be following along the 2022 election with interest
The Kingmaker,10,1,PipAndSqueak,2019-12-21 00:00:00.000,80.0,imdb,Dark truths are there if your eyes are open: This is an incredibly well put together documentary
The Kingmaker,10,2,PipAndSqueak,2019-12-21 00:00:00.000,80.0,imdb,"Imelda Marcos doesn't exactly shoot herself in the foot - she is too smart to do that, but you nonetheless get to see the realities she so flagrantly ignores whilst living in her self made fantasy world"
The Kingmaker,10,3,PipAndSqueak,2019-12-21 00:00:00.000,80.0,imdb,How many billions has this power crazed matriarch squirreled away in 140 countries across the world
